Row.names,RNAINO_R1.x,RNAINO_R2.x,RNAINO_R3.x,RNAINO_R4.x,RNAINO_R5.x,RNAISO_R1.x,RNAINO_R1.y,RNAINO_R2.y,RNAINO_R3.y,RNAINO_R4.y,RNAINO_R5.y,RNAISO_R1.y,logFC,logCPM,PValue,FDR
transcript:CTRG_00031-t43_1,136,149,80,521,502,747,13.24943712,15.1874297,9.61401069,29.58936773,32.797585,50.98003139,1.62,4.64,0.00152,0.0491
transcript:CTRG_00063-t43_1,942,884,759,2156,1812,3496,91.77183651,90.10528762,91.21292642,122.4465966,118.3849084,238.5892767,1.4,7.0,0.000264,0.0164
transcript:CTRG_00095-t43_1,234,224,193,722,666,1077,22.79682563,22.83210908,23.19380079,41.00484357,43.51233388,73.50133039,1.5,5.24,4.95e-05,0.00504
transcript:CTRG_00096-t43_1,19,27,21,57,50,142,1.851024303,2.752084577,2.523677806,3.237224492,3.266691733,9.690983209,2.03,2.05,5.86e-05,0.00543
transcript:CTRG_00099-t43_1,1107,1009,573,2958,2610,4916,107.8465212,102.8464199,68.86035157,167.9949131,170.5213085,335.4991088,1.67,7.32,0.000235,0.0151
transcript:CTRG_00236-t43_1,145,143,136,492,455,631,14.1262381,14.57585535,16.34381817,27.94235878,29.72689477,43.06345356,1.31,4.59,0.00111,0.0392
transcript:CTRG_00264-t43_1,359,336,303,1806,1569,3111,34.9746171,34.24816362,36.41306549,102.5689023,102.5087866,212.3144279,2.08,6.43,6.42e-05,0.00584
transcript:CTRG_00299-t43_1,2048,2505,2958,6958,9311,16136,199.5209354,255.3322913,355.4780453,395.1685617,608.3233345,1101.223275,1.86,8.92,0.000223,0.015
transcript:CTRG_00534-t43_1,7,2,2,27,25,70,0.681956322,0.203858117,0.240350267,1.533422128,1.633345867,4.777245244,2.74,0.767,0.00101,0.0378
transcript:CTRG_00572-t43_1,1326,1355,1135,4551,3160,5580,129.1820119,138.1138741,136.3987767,258.4668187,206.4549175,380.8146923,1.36,7.7,0.00154,0.0493
transcript:CTRG_00608-t43_1,1006,936,568,2214,2089,3506,98.00686574,95.40559866,68.2594759,125.7406145,136.4823806,239.2717404,1.39,7.01,0.00089,0.0348
transcript:CTRG_00612-t43_1,101,117,120,241,318,713,9.839655507,11.92569983,14.42101604,13.68721233,20.77615942,48.65965513,2.0,4.35,5.45e-07,0.00017
transcript:CTRG_00621-t43_1,753,729,676,4042,4379,9753,73.35901581,74.30628357,81.23839033,229.5589719,286.096862,665.6067552,2.5,7.86,2.46e-05,0.00316
transcript:CTRG_00623-t43_1,0,0,0,0,1,15,0.0,0.0,0.0,0.0,0.065333835,1.023695409,5.61,-1.49,1.73e-05,0.00243
transcript:CTRG_00652-t43_1,4,7,4,12,15,58,0.389689327,0.713503409,0.480700535,0.681520946,0.98000752,3.958288916,2.81,0.499,6.43e-06,0.00115
transcript:CTRG_00653-t43_1,135,113,99,421,380,613,13.15201479,11.5179836,11.89733823,23.91002651,24.82685717,41.83501906,1.54,4.41,0.000334,0.019
transcript:CTRG_00659-t43_1,0,2,2,12,19,80,0.0,0.203858117,0.240350267,0.681520946,1.241342859,5.45970885,3.83,0.608,9.5e-05,0.00826
transcript:CTRG_00688-t43_1,787,717,604,2362,2683,3913,76.67137509,73.08313487,72.58578071,134.1460395,175.2906784,267.0480091,1.59,7.04,0.000117,0.00991
transcript:CTRG_00699-t43_1,1060,962,680,3457,2428,4617,103.2676717,98.05575418,81.71909087,196.3348258,158.6305506,315.093447,1.53,7.31,0.000573,0.0262
transcript:CTRG_00718-t43_1,56,86,89,394,539,783,5.455650578,8.765899022,10.69558689,22.37660439,35.21493688,53.43690037,2.04,4.46,0.00138,0.0458
transcript:CTRG_00725-t43_1,1,1,3,3,3,133,0.097422332,0.101929058,0.360525401,0.170380236,0.196001504,9.076765963,5.82,1.01,4.64e-14,1.37e-10
transcript:CTRG_00727-t43_1,369,413,436,576,805,1816,35.94884042,42.09670112,52.39635826,32.7130054,52.5937369,123.9353909,1.69,5.88,0.000248,0.0156
transcript:CTRG_00815-t43_1,1,1,3,17,20,92,0.097422332,0.101929058,0.360525401,0.965488006,1.306676693,6.278665178,3.76,0.804,2.25e-05,0.00302
transcript:CTRG_00850-t43_1,1613,1553,1221,5909,5096,9579,157.1422211,158.2958277,146.7338382,335.5922724,332.9412214,653.7318884,1.79,8.21,0.000179,0.0129
transcript:CTRG_00913-t43_1,3,7,2,37,13,78,0.292266995,0.713503409,0.240350267,2.101356249,0.849339851,5.323216129,2.89,0.854,0.000829,0.0329
transcript:CTRG_00915-t43_1,343,359,325,1082,1297,2037,33.41585979,36.59253196,39.05691843,61.45047194,84.73798356,139.0178366,1.71,6.03,1.36e-05,0.00201
transcript:CTRG_00916-t43_1,35,67,48,185,250,446,3.409781611,6.829246912,5.768406414,10.50678125,16.33345867,30.43787684,2.12,3.61,0.000161,0.0119
transcript:CTRG_00922-t43_1,0,1,1,2,2,48,0.0,0.101929058,0.120175134,0.113586824,0.130667669,3.27582531,5.23,-0.238,4.12e-09,2.71e-06
transcript:CTRG_01010-t43_1,7,3,3,17,12,101,0.681956322,0.305787175,0.360525401,0.965488006,0.784006016,6.892882423,3.65,0.959,1.25e-08,7.37e-06
transcript:CTRG_01071-t43_1,986,950,766,6211,5185,9571,96.05841911,96.83260547,92.05415236,352.7438828,338.7559327,653.1859176,2.08,8.05,0.00141,0.0463
transcript:CTRG_01075-t43_1,137,134,72,476,422,750,13.34685945,13.65849382,8.652609621,27.03366418,27.57087823,51.18477047,1.76,4.56,0.000439,0.0224
transcript:CTRG_01086-t43_1,1558,1334,1107,5294,4288,8244,151.7839929,135.9733639,133.0338729,300.6643239,280.151483,562.622997,1.74,8.02,0.000187,0.0133
transcript:CTRG_01099-t43_1,188,167,161,1178,1052,1778,18.31539837,17.02215275,19.34819651,66.90263951,68.73119406,121.3420292,2.01,5.66,0.00133,0.0448
transcript:CTRG_01131-t43_1,82,97,59,247,219,410,7.988631204,9.887118664,7.090332884,14.0279728,14.30810979,27.98100786,1.61,3.79,0.000381,0.0201
transcript:CTRG_01140-t43_1,44,35,105,283,257,604,4.286582597,3.567517044,12.61838903,16.07253564,16.79079551,41.22080182,2.25,3.98,0.0007,0.0295
transcript:CTRG_01286-t43_1,418,396,382,1105,1137,1569,40.72253467,40.36390712,45.90690105,62.75672042,74.28457001,107.0785398,1.25,5.95,0.000586,0.0265
transcript:CTRG_01299-t43_1,5346,4911,4677,20904,17021,49580,520.8197855,500.5736058,562.0591,1187.209487,1112.0472,3383.65456,2.39,10.3,1.07e-05,0.00181
transcript:CTRG_01305-t43_1,675,606,895,5771,5526,13349,65.76007393,61.76900939,107.5567446,327.7547815,361.0347703,911.020668,2.67,8.23,0.000297,0.0174
transcript:CTRG_01434-t43_1,1024,1026,1023,2458,2058,4723,99.76046771,104.5792139,122.9391617,139.5982071,134.4570317,322.3275612,1.61,7.3,4.31e-05,0.00456
transcript:CTRG_01435-t43_1,274,290,338,228,340,2313,26.6937189,29.55942693,40.61919517,12.94889797,22.21350378,157.8538321,2.68,5.71,5.67e-05,0.00543
transcript:CTRG_01442-t43_1,726,803,647,2086,2071,2790,70.72861285,81.84903389,77.75331146,118.4710577,135.3063716,190.4073461,1.2,6.81,0.00111,0.0392
transcript:CTRG_01446-t43_1,63,67,66,158,267,379,6.1376069,6.829246912,7.931558819,8.973359119,17.44413385,25.86537068,1.71,3.61,0.000365,0.0198
transcript:CTRG_01620-t43_1,191,166,126,525,410,1384,18.60766536,16.92022369,15.14206684,29.81654138,26.78687221,94.45296311,2.35,5.12,3.94e-10,3.33e-07
transcript:CTRG_01653-t43_1,1091,1004,875,6291,4801,9097,106.2877639,102.3367746,105.1532419,357.2873558,313.6677402,620.8371426,1.97,8.03,0.00112,0.0394
transcript:CTRG_01671-t43_1,282,272,162,1474,1142,2271,27.47309755,27.72470388,19.46837165,83.7134895,74.61123918,154.987485,2.04,5.99,0.000576,0.0262
transcript:CTRG_01709-t43_1,8,4,8,19,24,51,0.779378654,0.407716234,0.961401069,1.079074831,1.568012032,3.480564392,2.08,0.636,0.000808,0.0323
transcript:CTRG_01710-t43_1,3,4,2,17,12,40,0.292266995,0.407716234,0.240350267,0.965488006,0.784006016,2.729854425,2.52,0.123,0.000359,0.0198
transcript:CTRG_01766-t43_1,4,4,1,9,11,71,0.389689327,0.407716234,0.120175134,0.511140709,0.718672181,4.845491604,3.66,0.494,6.52e-08,2.76e-05
transcript:CTRG_01780-t43_1,11,10,12,16,47,110,1.071645649,1.019290584,1.442101604,0.908694594,3.070690229,7.507099669,2.57,1.44,5.43e-05,0.00543
transcript:CTRG_01907-t43_1,25,58,92,112,195,2029,2.435558294,5.911885387,11.05611229,6.36086216,12.74009776,138.4718657,4.42,4.99,3.97e-14,1.37e-10
transcript:CTRG_01978-t43_1,2421,2487,2397,7821,7668,12826,235.8594652,253.4975682,288.0597953,444.1812764,500.9798442,875.3278214,1.59,8.75,0.000658,0.0286
transcript:CTRG_01984-t43_1,0,1,0,5,4,24,0.0,0.101929058,0.0,0.283967061,0.261335339,1.637912655,3.7,-0.824,0.000132,0.011
transcript:CTRG_01985-t43_1,1464,1386,1513,2791,2779,5445,142.6262937,141.2736749,181.8249772,158.5104133,181.5627265,371.6014336,1.38,7.65,0.00157,0.0498
transcript:CTRG_02094-t43_1,1485,1453,1161,10468,8414,23232,144.6721627,148.1029218,139.5233301,594.5134383,549.7188848,1585.49945,2.67,9.03,0.000155,0.0116
transcript:CTRG_02099-t43_1,2,3,0,17,16,55,0.194844664,0.305787175,0.0,0.965488006,1.045341355,3.753549834,3.16,0.311,0.000987,0.0375
transcript:CTRG_02178-t43_1,60,52,75,143,281,519,5.845339905,5.300311037,9.013135022,8.121457937,18.35880754,35.41986117,2.2,3.79,2.03e-05,0.00279
