Row.names	RNAINO_R1.x	RNAINO_R2.x	RNAINO_R3.x	RNAINO_R4.x	RNAINO_R5.x	RNAISO_R1.x	RNAINO_R1.y	RNAINO_R2.y	RNAINO_R3.y	RNAINO_R4.y	RNAINO_R5.y	RNAISO_R1.y	logFC	logCPM	PValue	FDR
transcript:CTRG_00001-t43_1	1164	916	858	2542	1835	1577	113.3995942	93.36701749	103.1102647	144.3688537	119.8875866	107.6245107	8.54E-02	6.83E+00	7.99E-01	9.34E-01
transcript:CTRG_00002-t43_1	2739	2770	2506	3647	3417	3317	266.8397667	282.3434918	301.1588849	207.1255741	223.245713	226.3731782	-6.01E-02	8.03E+00	9.94E-01	1.00E+00
transcript:CTRG_00003-t43_1	2297	2016	1341	5166	3827	4430	223.779096	205.4889817	161.1548542	293.3947671	250.0325853	302.3313776	5.99E-01	7.91E+00	2.05E-01	5.41E-01
transcript:CTRG_00004-t43_1	134	116	91	352	256	188	13.05459245	11.82377077	10.93593716	19.99128108	16.72546167	12.8303158	2.55E-02	3.83E+00	9.08E-01	9.77E-01
transcript:CTRG_00005-t43_1	873	870	862	3469	2876	3170	85.04969562	88.6782808	103.5909652	197.0163467	187.9001085	216.3409632	9.66E-01	7.16E+00	2.53E-02	2.17E-01
transcript:CTRG_00006-t43_1	1420	1315	1143	4342	3285	1616	138.3397111	134.0367118	137.3601777	246.5969955	214.6216469	110.2861188	-4.38E-01	7.31E+00	3.87E-01	6.97E-01
transcript:CTRG_00007-t43_1	3034	2754	2254	9793	6975	3470	295.5793545	280.7126268	270.8747512	556.1778851	455.7034968	236.8148714	-4.24E-01	8.40E+00	5.02E-01	7.75E-01
transcript:CTRG_00008-t43_1	436	492	377	2130	1835	1081	42.47613664	50.14909673	45.30602538	120.9699679	119.8875866	73.77431584	2.51E-01	6.15E+00	5.91E-01	8.21E-01
transcript:CTRG_00009-t43_1	1463	1460	1291	4409	3385	2849	142.5288714	148.8164253	155.1460975	250.4021542	221.1550303	194.4338814	2.97E-01	7.51E+00	4.57E-01	7.43E-01
transcript:CTRG_00010-t43_1	643	540	406	1606	1488	847	62.64255932	55.04169153	48.79110425	91.21021991	97.21674598	57.80466745	-7.42E-02	6.07E+00	9.25E-01	9.85E-01
transcript:CTRG_00011-t43_1	30	33	77	718	673	989	2.922669953	3.363658927	9.253485289	40.77766992	43.96967073	67.49565066	2.19E+00	4.72E+00	3.39E-02	2.45E-01
transcript:CTRG_00012-t43_1	1156	1155	1261	1633	2023	1582	112.6202155	117.7280624	151.5408435	92.74364203	132.1703475	107.9657425	-2.05E-02	6.93E+00	9.62E-01	1.00E+00
transcript:CTRG_00013-t43_1	6981	6370	4303	16597	11211	13805	680.105298	649.288102	517.1136	942.6002614	732.4576204	942.1410084	6.01E-01	9.55E+00	2.70E-01	6.05E-01
transcript:CTRG_00014-t43_1	13207	12293	9611	14787	10757	11954	1286.656735	1253.013915	1155.003209	839.8041854	702.7960595	815.8169949	-2.76E-01	1.01E+01	8.47E-01	9.53E-01
transcript:CTRG_00015-t43_1	1234	1225	932	3933	2794	1915	120.2191574	124.8630965	112.0032245	223.36849	182.542734	130.6917806	-4.25E-03	7.19E+00	9.51E-01	9.96E-01
transcript:CTRG_00016-t43_1	26068	23947	18116	19854	14681	15085	2539.605344	2440.895161	2177.092721	1127.576405	959.1660267	1029.49635	-7.98E-01	1.09E+01	5.55E-01	8.05E-01
transcript:CTRG_00017-t43_1	615	727	512	2320	1911	883	59.91473403	74.10242545	61.52966842	131.7607162	124.852958	60.26153643	-3.40E-01	6.36E+00	5.26E-01	7.88E-01
transcript:CTRG_00018-t43_1	649	810	756	2155	2435	1523	63.22709331	82.5625373	90.85240102	122.3898032	159.0878874	103.9392072	2.51E-01	6.65E+00	5.06E-01	7.77E-01
transcript:CTRG_00019-t43_1	890	866	890	2386	1942	709	86.70587526	88.27056457	106.9558689	135.5090814	126.8783069	48.38666968	-9.69E-01	6.60E+00	3.62E-02	2.52E-01
transcript:CTRG_00020-t43_1	1558	1588	1616	2464	2328	1027	151.7839929	161.8633447	194.2030159	139.9389675	152.0971671	70.08901236	-1.05E+00	7.21E+00	1.03E-01	4.04E-01
transcript:CTRG_00021-t43_1	274	265	256	1990	1704	1186	26.6937189	27.01120047	30.76483421	113.0188902	111.3288543	80.9401837	7.38E-01	5.91E+00	2.66E-01	6.00E-01
transcript:CTRG_00022-t43_1	486	480	480	1316	1169	851	47.34725323	48.92594803	57.68406414	74.74013038	76.37525272	58.07765289	1.39E-01	5.90E+00	6.85E-01	8.77E-01
transcript:CTRG_00023-t43_1	236	221	206	972	881	864	22.99167029	22.52632191	24.75607753	55.20319661	57.55910834	58.96485558	9.65E-01	5.29E+00	3.44E-02	2.46E-01
transcript:CTRG_00024-t43_1	338	416	368	1647	1569	824	32.92874813	42.40248829	44.22444917	93.5387498	102.5087866	56.23500116	1.20E-01	5.87E+00	7.57E-01	9.17E-01
transcript:CTRG_00025-t43_1	313	352	343	1024	877	377	30.49318984	35.87902855	41.22007083	58.15645404	57.297773	25.72887796	-5.70E-01	5.33E+00	2.03E-01	5.39E-01
transcript:CTRG_00026-t43_1	52003	48029	40163	42073	31868	37563	5066.253518	4895.550746	4826.593892	2389.469229	2082.058643	2563.538044	-5.33E-01	1.19E+01	7.15E-01	8.96E-01
transcript:CTRG_00027-t43_1	786	705	525	1651	1394	1930	76.57395276	71.85998617	63.09194515	93.76592345	91.07536552	131.715476	9.16E-01	6.48E+00	2.42E-02	2.14E-01
transcript:CTRG_00028-t43_1	176	160	131	634	662	415	17.14633039	16.30864934	15.7429425	36.0070233	43.25099855	28.32223966	4.19E-01	4.64E+00	3.74E-01	6.88E-01
transcript:CTRG_00029-t43_1	46	56	35	313	276	343	4.481427261	5.70802727	4.206129677	17.776338	18.03213837	23.40850169	1.55E+00	3.57E+00	2.39E-02	2.12E-01
transcript:CTRG_00030-t43_1	278	248	174	1380	1137	1272	27.08340823	25.27840648	20.91047325	78.37490876	74.28457001	86.80937072	1.25E+00	5.64E+00	3.22E-02	2.40E-01
transcript:CTRG_00031-t43_1	136	149	80	521	502	747	13.24943712	15.1874297	9.61401069	29.58936773	32.797585	50.98003139	1.62E+00	4.64E+00	1.52E-03	4.91E-02
transcript:CTRG_00032-t43_1	400	326	281	1117	999	466	38.9689327	33.22887304	33.76921255	63.43824137	65.26850083	31.80280405	-3.28E-01	5.43E+00	5.08E-01	7.77E-01
transcript:CTRG_00033-t43_1	141	131	116	718	509	461	13.73654878	13.35270665	13.9403155	40.77766992	33.25492184	31.46157225	7.35E-01	4.55E+00	1.75E-01	5.08E-01
transcript:CTRG_00034-t43_1	75	78	88	372	374	139	7.306674881	7.950466555	10.57541176	21.12714932	24.43485416	9.486244127	-2.94E-01	3.66E+00	7.34E-01	9.07E-01
transcript:CTRG_00035-t43_1	167	174	121	462	378	179	16.2695294	17.73565616	14.54119117	26.23855641	24.6961895	12.21609855	-4.94E-01	4.20E+00	3.67E-01	6.83E-01
transcript:CTRG_00036-t43_1	427	373	274	2888	2611	2219	41.59933566	38.01953878	32.92798661	164.0193743	170.5866423	151.4386742	1.12E+00	6.53E+00	1.21E-01	4.35E-01
transcript:CTRG_00037-t43_1	33	30	28	163	175	131	3.214936948	3.057871752	3.364903742	9.25732618	11.43342107	8.940273242	8.70E-01	2.66E+00	1.76E-01	5.09E-01
transcript:CTRG_00038-t43_1	24	15	10	94	79	53	2.338135962	1.528935876	1.201751336	5.338580742	5.161372938	3.617057113	4.94E-01	1.68E+00	4.66E-01	7.49E-01
transcript:CTRG_00039-t43_1	21	13	19	173	169	164	2.045868967	1.325077759	2.283327539	9.825260301	11.04141806	11.19240314	1.45E+00	2.59E+00	9.15E-02	3.85E-01
transcript:CTRG_00040-t43_1	138	93	137	514	375	236	13.44428178	9.479402431	16.46399331	29.19181384	24.500188	16.10614111	4.20E-02	4.14E+00	8.81E-01	9.68E-01
transcript:CTRG_00041-t43_1	632	533	366	64	48	99	61.57091367	54.32818812	43.98409891	3.634778377	3.136024064	6.756389702	-2.35E+00	5.06E+00	3.97E-01	7.05E-01
transcript:CTRG_00042-t43_1	13	15	9	115	125	88	1.266490313	1.528935876	1.081576203	6.531242397	8.166729333	6.005679735	1.07E+00	1.98E+00	2.12E-01	5.49E-01
transcript:CTRG_00043-t43_1	643	618	533	2107	2093	1102	62.64255932	62.99215809	64.05334622	119.6637194	136.7437159	75.20748941	9.24E-03	6.38E+00	9.29E-01	9.86E-01
transcript:CTRG_00044-t43_1	26514	25789	20204	18245	15142	13195	2583.055704	2628.648487	2428.0184	1036.195805	989.2849244	900.5107285	-1.06E+00	1.09E+01	4.37E-01	7.32E-01
transcript:CTRG_00045-t43_1	1214	1192	968	2630	2429	2037	118.2707107	121.4994376	116.3295293	149.3666739	158.6958844	139.0178366	2.53E-01	7.07E+00	5.09E-01	7.77E-01
transcript:CTRG_00046-t43_1	12421	12220	9867	40979	33932	21181	1210.082783	1245.573094	1185.768043	2327.337236	2216.907678	1445.526164	5.91E-02	1.06E+01	8.49E-01	9.55E-01
transcript:CTRG_00047-t43_1	923	796	1049	1205	1180	610	89.92081221	81.13553048	126.0637152	68.43606164	77.0939249	41.63027998	-9.65E-01	6.38E+00	1.96E-01	5.31E-01
transcript:CTRG_00048-t43_1	111	132	149	501	598	230	10.81387882	13.45463571	17.90609491	28.45349949	39.06963313	15.69666294	-1.91E-01	4.29E+00	8.17E-01	9.40E-01
transcript:CTRG_00049-t43_1	87	91	72	31	29	60	8.475742862	9.275544314	8.652609621	1.760595777	1.894681205	4.094781638	-5.46E-01	2.68E+00	8.54E-01	9.57E-01
transcript:CTRG_00050-t43_1	2969	2631	1728	194	138	342	289.246903	268.1753526	207.6626309	11.01792196	9.016069183	23.34025533	-2.81E+00	7.29E+00	3.74E-01	6.88E-01
transcript:CTRG_00051-t43_1	82	73	86	393	281	203	7.988631204	7.440821263	10.33506149	22.31981097	18.35880754	13.85401121	3.28E-01	3.69E+00	5.21E-01	7.87E-01
transcript:CTRG_00052-t43_1	97	64	73	9	9	0	9.44996618	6.523459737	8.772784755	0.511140709	0.588004512	0	-9.31E+00	2.31E+00	4.35E-02	2.81E-01
transcript:CTRG_00053-t43_1	754	831	901	354	300	173	73.45643814	84.70304753	108.2777954	20.1048679	19.6001504	11.80662039	-2.36E+00	5.87E+00	1.55E-01	4.85E-01
transcript:CTRG_00054-t43_1	230	295	318	137	202	76	22.4071363	30.06907223	38.21569249	7.780697464	13.1974346	5.186723408	-2.05E+00	4.39E+00	1.34E-01	4.55E-01
transcript:CTRG_00055-t43_1	1280	1051	1224	810	957	1261	124.7005846	107.1274404	147.0943636	46.00266384	62.52447977	86.05866075	-1.18E-01	6.68E+00	9.93E-01	1.00E+00
transcript:CTRG_00056-t43_1	1005	1101	983	3572	3573	1648	97.90944341	112.2238933	118.1321564	202.8660682	233.4377912	112.4700023	-1.86E-01	7.12E+00	7.39E-01	9.09E-01
transcript:CTRG_00057-t43_1	124	123	204	1052	1298	394	12.08036914	12.53727418	24.51572726	59.74666958	84.80331739	26.88906609	-1.43E-01	5.03E+00	9.86E-01	1.00E+00
transcript:CTRG_00058-t43_1	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA
transcript:CTRG_00059-t43_1	2	2	1	1	3	15	0.194844664	0.203858117	0.120175134	0.056793412	0.196001504	1.023695409	2.92E+00	-1.09E+00	3.41E-03	7.89E-02
transcript:CTRG_00060-t43_1	867	847	865	2226	2102	1650	84.46516163	86.33391246	103.9514906	126.4221354	137.3317205	112.606495	2.73E-01	6.75E+00	4.52E-01	7.41E-01
transcript:CTRG_00061-t43_1	6499	6181	5100	3376	3174	1968	633.147734	630.0235099	612.8931815	191.7345594	207.3695912	134.3088377	-1.73E+00	8.78E+00	2.27E-01	5.67E-01
transcript:CTRG_00062-t43_1	4920	5107	4414	2381	2385	4384	479.3178722	520.5517012	530.4530398	135.2251143	155.8211957	299.192045	-2.61E-01	8.60E+00	9.61E-01	1.00E+00
transcript:CTRG_00063-t43_1	942	884	759	2156	1812	3496	91.77183651	90.10528762	91.21292642	122.4465966	118.3849084	238.5892767	1.40E+00	7.00E+00	2.64E-04	1.64E-02
transcript:CTRG_00064-t43_1	39	49	37	510	323	445	3.799470938	4.994523861	4.446479944	28.96464019	21.1028286	30.36963048	1.63E+00	3.89E+00	5.73E-02	3.19E-01
transcript:CTRG_00065-t43_1	1	1	0	2	17	20	0.097422332	0.101929058	0	0.113586824	1.110675189	1.364927213	2.59E+00	-6.91E-01	3.65E-02	2.53E-01
transcript:CTRG_00066-t43_1	373	335	352	881	779	450	36.33852974	34.14623456	42.30164704	50.0349961	50.8950572	30.71086228	-2.80E-01	5.34E+00	5.41E-01	7.99E-01
